,Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Calorie per gram,protein fat ratio
441,"Hot chocolate / Cocoa, ready to drink",100,90.9,2.72,1.54,0.903,0.0,16.54,Hot chocolate / Cocoa,0.909,1.7662337662337664
442,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",100,77.78,2.79,0.06,0.04,0.0,16.52,Hot chocolate / Cocoa,0.7778,46.5
443,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",100,80.38,1.21,0.98,0.115,0.2,16.68,Hot chocolate / Cocoa,0.8038,1.2346938775510203
444,"Hot chocolate / Cocoa, ready to drink, with whipped cream",100,103.1,2.73,3.18,1.952,0.0,15.89,Hot chocolate / Cocoa,1.031,0.8584905660377358
445,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",100,90.57,2.79,1.77,1.13,0.0,15.87,Hot chocolate / Cocoa,0.9057,1.576271186440678
446,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",100,93.0,1.29,2.64,1.202,0.2,16.02,Hot chocolate / Cocoa,0.93,0.48863636363636365
447,"Chocolate milk, made from dry mix, NS as to type of milk",100,72.25,3.41,2.01,1.232,0.3,10.13,Chocolate milk,0.7225,1.6965174129353235
448,"Chocolate milk, made from dry mix with whole milk",100,81.46000000000001,3.36,3.14,1.885,0.3,9.94,Chocolate milk,0.8146000000000001,1.070063694267516
449,"Chocolate milk, made from dry mix with reduced fat milk",100,71.6,3.42,1.92,1.182,0.3,10.16,Chocolate milk,0.716,1.78125
450,"Chocolate milk, made from dry mix with low fat milk",100,64.78999999999999,3.45,1.03,0.673,0.3,10.43,Chocolate milk,0.6478999999999999,3.3495145631067964
451,"Chocolate milk, made from dry mix with fat free milk",100,56.540000000000006,3.5,0.22,0.186,0.3,10.14,Chocolate milk,0.5654,15.909090909090908
452,"Chocolate milk, made from dry mix with non-dairy milk",100,59.43,1.68,1.27,0.272,0.5,10.32,Chocolate milk,0.5943,1.3228346456692912
453,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",100,63.7,3.59,2.1,1.114,0.4,7.61,Chocolate milk,0.637,1.7095238095238094
454,"Chocolate milk, made from reduced sugar mix with whole milk",100,73.13999999999999,3.53,3.26,1.78,0.4,7.42,Chocolate milk,0.7313999999999998,1.0828220858895705
455,"Chocolate milk, made from reduced sugar mix with reduced fat milk",100,63.05,3.6,2.01,1.062,0.4,7.64,Chocolate milk,0.6305,1.7910447761194033
456,"Chocolate milk, made from reduced sugar mix with low fat milk",100,56.06,3.63,1.1,0.543,0.4,7.91,Chocolate milk,0.5606,3.3
457,"Chocolate milk, made from reduced sugar mix with fat free milk",100,47.629999999999995,3.67,0.27,0.047,0.4,7.63,Chocolate milk,0.47629999999999995,13.592592592592592
458,"Chocolate milk, made from reduced sugar mix with non-dairy milk",100,50.58,1.82,1.34,0.135,0.6,7.81,Chocolate milk,0.5058,1.3582089552238805
459,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",100,72.25,3.41,2.01,1.232,0.3,10.13,Chocolate milk,0.7225,1.6965174129353235
460,"Chocolate milk, made from dry mix with whole milk (Nesquik)",100,81.46000000000001,3.36,3.14,1.885,0.3,9.94,Chocolate milk,0.8146000000000001,1.070063694267516
461,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",100,71.6,3.42,1.92,1.182,0.3,10.16,Chocolate milk,0.716,1.78125
462,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",100,64.78999999999999,3.45,1.03,0.673,0.3,10.43,Chocolate milk,0.6478999999999999,3.3495145631067964
463,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",100,56.540000000000006,3.5,0.22,0.186,0.3,10.14,Chocolate milk,0.5654,15.909090909090908
464,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",100,59.43,1.68,1.27,0.272,0.5,10.32,Chocolate milk,0.5943,1.3228346456692912
465,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",100,63.7,3.59,2.1,1.114,0.4,7.61,Chocolate milk,0.637,1.7095238095238094
466,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",100,73.13999999999999,3.53,3.26,1.78,0.4,7.42,Chocolate milk,0.7313999999999998,1.0828220858895705
467,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",100,63.05,3.6,2.01,1.062,0.4,7.64,Chocolate milk,0.6305,1.7910447761194033
468,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",100,56.06,3.63,1.1,0.543,0.4,7.91,Chocolate milk,0.5606,3.3
469,"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",100,47.629999999999995,3.67,0.27,0.047,0.4,7.63,Chocolate milk,0.47629999999999995,13.592592592592592
470,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",100,50.58,1.82,1.34,0.135,0.6,7.81,Chocolate milk,0.5058,1.3582089552238805
471,"Chocolate milk, made from syrup, NS as to type of milk",100,79.85,2.89,1.73,1.009,0.0,13.18,Chocolate milk,0.7985,1.670520231213873
472,"Chocolate milk, made from syrup with whole milk",100,88.28999999999999,2.84,2.77,1.612,0.0,13.0,Chocolate milk,0.8828999999999999,1.0252707581227436
473,"Chocolate milk, made from syrup with reduced fat milk",100,79.29,2.9,1.65,0.962,0.0,13.21,Chocolate milk,0.7929,1.7575757575757576
474,"Chocolate milk, made from syrup with low fat milk",100,72.9,2.93,0.82,0.492,0.0,13.45,Chocolate milk,0.7290000000000001,3.5731707317073176
475,"Chocolate milk, made from syrup with fat free milk",100,65.27,2.97,0.07,0.042,0.0,13.19,Chocolate milk,0.6527,42.42857142857143
476,"Chocolate milk, made from syrup with non-dairy milk",100,67.96,1.29,1.04,0.122,0.2,13.36,Chocolate milk,0.6796,1.2403846153846154
477,"Chocolate milk, made from light syrup, NS as to type of milk",100,63.54,3.1,1.86,1.018,0.0,8.6,Chocolate milk,0.6354,1.6666666666666665
478,"Chocolate milk, made from light syrup with whole milk",100,72.12,3.04,2.92,1.627,0.0,8.42,Chocolate milk,0.7212000000000001,1.0410958904109588
479,"Chocolate milk, made from light syrup with reduced fat milk",100,62.940000000000005,3.1,1.78,0.971,0.0,8.63,Chocolate milk,0.6294000000000001,1.7415730337078652
480,"Chocolate milk, made from light syrup with low fat milk",100,56.55,3.13,0.95,0.497,0.0,8.87,Chocolate milk,0.5655,3.294736842105263
481,"Chocolate milk, made from light syrup with fat free milk",100,48.87,3.18,0.19,0.043,0.0,8.61,Chocolate milk,0.48869999999999997,16.736842105263158
482,"Chocolate milk, made from light syrup with non-dairy milk",100,51.56999999999999,1.48,1.17,0.123,0.2,8.78,Chocolate milk,0.5156999999999999,1.2649572649572651
483,"Chocolate milk, made from sugar free syrup, NS as to type of milk",100,55.28,3.28,2.0,1.112,0.4,6.04,Chocolate milk,0.5528,1.64
484,"Chocolate milk, made from sugar free syrup with whole milk",100,63.849999999999994,3.23,3.05,1.72,0.4,5.87,Chocolate milk,0.6385,1.059016393442623
485,"Chocolate milk, made from sugar free syrup with reduced fat milk",100,54.760000000000005,3.29,1.92,1.064,0.4,6.08,Chocolate milk,0.5476000000000001,1.7135416666666667
486,"Chocolate milk, made from sugar free syrup with low fat milk",100,48.28,3.32,1.08,0.59,0.4,6.32,Chocolate milk,0.4828,3.0740740740740735
487,"Chocolate milk, made from sugar free syrup with fat free milk",100,40.56,3.36,0.32,0.136,0.4,6.06,Chocolate milk,0.4056,10.5
488,"Chocolate milk, made from sugar free syrup with non-dairy milk",100,43.31,1.66,1.31,0.217,0.5,6.22,Chocolate milk,0.43310000000000004,1.2671755725190839
489,"Hot chocolate / Cocoa, made with dry mix and water",100,54.19,0.91,0.55,0.324,0.5,11.4,Hot chocolate / Cocoa,0.5418999999999999,1.6545454545454545
490,"Hot chocolate / Cocoa, made with dry mix and whole milk",100,105.35,3.73,3.31,1.929,0.5,15.16,Hot chocolate / Cocoa,1.0534999999999999,1.1268882175226587
491,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",100,96.25999999999999,3.79,2.18,1.278,0.5,15.37,Hot chocolate / Cocoa,0.9625999999999999,1.738532110091743
492,"Hot chocolate / Cocoa, made with dry mix and low fat milk",100,89.96,3.82,1.36,0.808,0.5,15.61,Hot chocolate / Cocoa,0.8996,2.8088235294117645
493,"Hot chocolate / Cocoa, made with dry mix and fat free milk",100,82.24,3.86,0.6,0.358,0.5,15.35,Hot chocolate / Cocoa,0.8223999999999999,6.433333333333334
494,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",100,84.73,2.18,1.57,0.436,0.7,15.47,Hot chocolate / Cocoa,0.8473,1.388535031847134
495,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",100,31.130000000000003,1.28,0.25,0.147,0.6,5.94,Hot chocolate / Cocoa,0.3113,5.12
